ds,unique_id,y
2001-01-01,Leisure and Hospitality,11328
2001-02-01,Leisure and Hospitality,11462
2001-03-01,Leisure and Hospitality,11645
2001-04-01,Leisure and Hospitality,11936
2001-05-01,Leisure and Hospitality,12297
2001-06-01,Leisure and Hospitality,12687
2001-07-01,Leisure and Hospitality,12757
2001-08-01,Leisure and Hospitality,12716
2001-09-01,Leisure and Hospitality,12273
2001-10-01,Leisure and Hospitality,11945
2001-11-01,Leisure and Hospitality,11702
2001-12-01,Leisure and Hospitality,11681
2002-01-01,Leisure and Hospitality,11385
2002-02-01,Leisure and Hospitality,11440
2002-03-01,Leisure and Hospitality,11622
2002-04-01,Leisure and Hospitality,11823
2002-05-01,Leisure and Hospitality,12148
2002-06-01,Leisure and Hospitality,12467
2002-07-01,Leisure and Hospitality,12536
2002-08-01,Leisure and Hospitality,12538
2002-09-01,Leisure and Hospitality,12198
2002-10-01,Leisure and Hospitality,12013
2002-11-01,Leisure and Hospitality,11837
2002-12-01,Leisure and Hospitality,11823
2003-01-01,Leisure and Hospitality,11568
2003-02-01,Leisure and Hospitality,11599
2003-03-01,Leisure and Hospitality,11769
2003-04-01,Leisure and Hospitality,11984
2003-05-01,Leisure and Hospitality,12302
2003-06-01,Leisure and Hospitality,12671
2003-07-01,Leisure and Hospitality,12776
2003-08-01,Leisure and Hospitality,12768
2003-09-01,Leisure and Hospitality,12391
2003-10-01,Leisure and Hospitality,12177
2003-11-01,Leisure and Hospitality,12026
2003-12-01,Leisure and Hospitality,12041
2004-01-01,Leisure and Hospitality,11760
2004-02-01,Leisure and Hospitality,11838
2004-03-01,Leisure and Hospitality,12077
2004-04-01,Leisure and Hospitality,12355
2004-05-01,Leisure and Hospitality,12691
2004-06-01,Leisure and Hospitality,13051
2004-07-01,Leisure and Hospitality,13128
2004-08-01,Leisure and Hospitality,13083
2004-09-01,Leisure and Hospitality,12729
2004-10-01,Leisure and Hospitality,12519
2004-11-01,Leisure and Hospitality,12348
2004-12-01,Leisure and Hospitality,12336
2005-01-01,Leisure and Hospitality,12064
2005-02-01,Leisure and Hospitality,12151
2005-03-01,Leisure and Hospitality,12365
2005-04-01,Leisure and Hospitality,12711
2005-05-01,Leisure and Hospitality,13010
2005-06-01,Leisure and Hospitality,13413
2005-07-01,Leisure and Hospitality,13514
2005-08-01,Leisure and Hospitality,13497
2005-09-01,Leisure and Hospitality,13041
2005-10-01,Leisure and Hospitality,12782
2005-11-01,Leisure and Hospitality,12629
2005-12-01,Leisure and Hospitality,12609
2006-01-01,Leisure and Hospitality,12339
2006-02-01,Leisure and Hospitality,12438
2006-03-01,Leisure and Hospitality,12674
2006-04-01,Leisure and Hospitality,12960
2006-05-01,Leisure and Hospitality,13268
2006-06-01,Leisure and Hospitality,13638
2006-07-01,Leisure and Hospitality,13790
2006-08-01,Leisure and Hospitality,13764
2006-09-01,Leisure and Hospitality,13322
2006-10-01,Leisure and Hospitality,13125
2006-11-01,Leisure and Hospitality,12994
2006-12-01,Leisure and Hospitality,13005
2007-01-01,Leisure and Hospitality,12703
2007-02-01,Leisure and Hospitality,12790
